date,title,where,link
2020.01.02.,"[10시 28분 메르스 코로나 바이러스 오전의 테마종목] 파루,우진비앤지 등이 주도...",내외경제tv,http://nbntv.co.kr/news/view/793073
2020.01.02.,"[메르스 코로나 바이러스 테마 오후 시황] 상승률 상위 종목, 파루 +5.87%·우진비앤지 +4.29%·고려제약 +3.62% 등",공감신문,http://www.gokorea.kr/news/articleView.html?idxno=619065
2020.01.02.,"[13시 28분 메르스 코로나 바이러스 테마주 오후 시황] 파루,우진비앤지 등이 상승세 주도",내외경제tv,http://nbntv.co.kr/news/view/793998
2020.01.02.,"[메르스 코로나 바이러스 테마 13시 현재 주식 시황] 상승률 상위 종목, 파루 140원(+6.57%)·우진비앤지 110원(+4.49%)·고려제약 260원(+3.62%)상승",CCTV뉴스,http://www.cctvnews.co.kr/news/articleView.html?idxno=155215
2020.01.02.,"[메르스 코로나 바이러스 테마종목 종가] 파루,우진비앤지 등이 상승세 주도",내외경제tv,http://nbntv.co.kr/news/view/794740
2020.01.02.,"[메르스 코로나 바이러스 테마 마감 시황] 상승률 상위 종목, 파루 +7.98%·우진비앤지 +4.29%·고려제약 +4.17% 등",공감신문,http://www.gokorea.kr/news/articleView.html?idxno=619783
2020.01.03.,"[09시 13분 메르스 코로나 바이러스 테마주 시황-오전] 고려제약,파루 등이 주도",내외경제tv,http://nbntv.co.kr/news/view/794979
2020.01.03.,"[메르스 코로나 바이러스 테마 오전 시황] 상승률 상위 종목, 파루 +5.87%·고려제약 +4.67%·진양제약 +2.34% 등",공감신문,http://www.gokorea.kr/news/articleView.html?idxno=619909
2020.01.03.,"[메르스 코로나 바이러스 테마 09시 현재 주식 시황] 상승률 상위 종목, 고려제약 460원(+6.14%)·파루 140원(+6.09%)·중앙백신 500원(+2.78%)상승",CCTV뉴스,http://www.cctvnews.co.kr/news/articleView.html?idxno=155252
2020.01.03.,"[메르스 코로나 바이러스 테마 오후 시황] 상승률 상위 종목, 진양제약 +21.25%·파루 +6.30%·진매트릭스 +5.87% 등",공감신문,http://www.gokorea.kr/news/articleView.html?idxno=620503
2020.01.03.,"[3일 13시 메르스 코로나 바이러스 테마주 오후 시황] 진양제약,파루 등이 상승세 견인중",내외경제tv,http://nbntv.co.kr/news/view/795588
2020.01.03.,"[메르스 코로나 바이러스 테마 13시 현재 주식 시황] 상승률 상위 종목, 진양제약 1,025원(+22.80%)·제일바이오 750원(+10.87%)·파루 150원(+6.52%)상승",CCTV뉴스,http://www.cctvnews.co.kr/news/articleView.html?idxno=155421
2020.01.03.,"[메르스 코로나 바이러스 테마주 시황-마감] 진양제약,파루 등이 상승세 주도",내외경제tv,http://nbntv.co.kr/news/view/795739
2020.01.03.,"[메르스 코로나 바이러스 테마 마감 시황] 상승률 상위 종목, 진양제약 +17.91%·파루 +11.09%·제일바이오 +8.41% 등",공감신문,http://www.gokorea.kr/news/articleView.html?idxno=620797
2020.01.05.,"[주간 메르스 코로나 바이러스 테마 리포트] 1월 1주차 파루, 진양제약 등 상승",내외경제tv,http://nbntv.co.kr/news/view/796039
2020.01.06.,"[09시 12분 메르스 코로나 바이러스 오전 테마시황] 파루,고려제약 등이 상승세 견인중",내외경제tv,http://nbntv.co.kr/news/view/796182
