word,count
신종,3645
코로나,3055
코로나바이러스,951
진자,532
확산,399
환자,355
바이러스,354
대응,350
비상,339
발생,334
국내,301
감염,296
사태,233
예방,223
대책,220
감염증,219
속보,218
중국,210
취소,204
총력,189
확진,189
추가,184
우려,181
우한,178
방지,175
중단,174
선포,174
국제,146
연기,133
지원,125
마스크,122
여파,118
피해,106
영향,101
방역,100
회의,92
위해,91
종합,91
관련,90
경제,88
한국,88
입국,86
남성,86
정부,82
긴급,79
지역,79
기업,78
뉴스,72
가동,72
운영,72
격리,71
행사,68
민주당,68
점검,67
어린이집,67
성신여대,67
차단,66
경기도,64
특위,63
본부,62
진료,61
접촉,60
금강산,59
철거,59
미국,58
공포,58
검사,57
폐렴,57
강화,57
사람,56
잠정,56
확인,55
전염,55
가짜,54
영업,54
제한,53
금융,53
의심,52
안전,52
사망,52
시간,51
의료,49
정보,48
교민,48
관리,47
공식,47
방문,47
대비,46
병원,46
하락,45
조치,45
사망자,42
시설,41
현장,41
부산,41
확대,40
전파,40
공연,39
음성,38
재난,36
시행,36
포스코,36
경남,36
경기,35
여행,35
입구,35
대통령,34
가족,34
사례,34
휴업,34
교사,33
개최,33
교역,33
통보,33
증가,32
구성,32
현황,32
체계,31
판정,31
업계,31
육박,31
최소,30
세계,30
개발,29
기부,29
서울,29
마련,29
팬미팅,29
시장,28
졸업식,28
감시,28
은행,28
일정,28
실시,27
성장,27
급락,27
제주,27
의회,27
컨콜,27
랜드,27
코스피,26
선제,26
항공,26
상승,26
생산,26
공장,26
브리핑,26
차관,26
한국인,26
당분간,26
보건,25
불안,25
명확,25
중국인,25
발언,25
선거운동,25
공개,25
추정,25
이해찬,25
글로벌,24
증상,24
검역,24
반대,24
이동,24
약국,24
이용,24
박원순,24
전면,24
서울시,23
검토,23
서도,23
현대차,23
북한,23
오늘,23
방송,23
능동,23
에어부산,23
대전,23
협의,23
보건소,22
기관,22
효과,22
대구,22
모두,22
최대,21
줄줄이,21
하루,21
입장,21
기준,21
정쟁,21
상황,20
사회,20
경로,20
여성,20
소독,20
제공,20
학위,20
수여,20
코리아,20
집중,19
일자리,19
포토,19
공단,19
증시,19
임시,19
차질,19
일관,19
귀국,19
공중보건,19
격상,19
전세기,19
전문,19
각종,19
대상,19
위원장,19
세미,19
유포,18
카메라,18
녹차,18
제안,18
출범,18
협력,18
홍보,18
대폭,18
뉴욕증시,17
설치,17
대처,17
수원시,17
보스턴,17
심포니,17
충북,17
발표,17
유가,17
천명,17
누적,17
근무,17
억원,17
태안군,17
최고,17
위윌락유,17
급증,16
성남시,16
팩트,16
교육,16
마감,16
투입,16
진단,16
메르스,16
경찰,16
유증,16
상자,16
사스,16
진행,16
필요,16
김상희,16
아베,16
특별,16
충남도,16
자가,16
물품,15
이송,15
국민,15
일본,15
체크,15
관람,15
지정,15
학교,15
상보,15
수사,15
대회,15
투자,15
이탈리아,15
폐쇄,15
위축,15
내한,15
태안,15
대위,15
일시,15
전시,15
위급,15
방통위,15
양주시,15
영상,15
외국인,15
조기,15
출발,14
화상,14
질병,14
때문,14
광주시,14
정월대보름,14
교육청,14
직격탄,14
위기,14
선언,14
타격,14
수원,14
감염병,14
현대,14
개선,14
기재,14
제주도,14
시스템,14
디스플레이,14
공유,14
유출,14
거부,14
직통,14
일간,14
뮤지컬,14
환율,13
해외,13
주시,13
숙소,13
프랑스,13
민주,13
권고,13
달러,13
반등,13
심각,13
신한은행,13
살균,13
실험실,13
저지,13
실물,13
조회,13
특근,13
입학식,13
모비스,13
명차,13
적극,12
복지,12
금지,12
상무,12
도시,12
현재,12
식사,12
당부,12
모든,12
신속,12
펭수,12
유관,12
유럽,12
운항,12
이슈,12
사진,12
단축,12
부품,12
파장,12
센터,12
소독제,12
결정,12
안내,12
음악,12
김용범,12
학생,12
용인시,12
수요,12
모빌리티,12
건보,12
시작,12
농식품부,12
전담,12
중앙,12
감축,12
치료,11
요청,11
의장,11
인력,11
일부,11
장관,11
이유,11
논란,11
포항시,11
인천,11
혐오,11
가능성,11
광주,11
박쥐,11
주의,11
종목,11
경보,11
역대,11
전화,11
전세계,11
가격,11
감소,11
도착,11
개학,11
관객,11
공사,11
녹화,11
중소기업,11
신호,11
안산시,11
금융시장,11
블루,11
베이,11
수출,11
전북,11
주말,11
한상혁,11
이인영,11
원장,11
밀접,11
역학,11
경복대,11
밀양시,11
광장,11
스케이트장,11
폐장,11
사실,10
백신,10
매일,10
지속,10
강남,10
운행,10
고양,10
우선,10
경북,10
여섯,10
공급,10
의뢰,10
업체,10
판단,10
선거,10
이상,10
거주,10
설명,10
합동,10
통제,10
다중,10
총력전,10
항체,10
분기,10
위원회,10
사업,10
구호,10
조사,10
생물,10
산업,10
특수,10
인제대,10
전격,10
하이닉스,10
비비,10
발열,10
군수,10
공원,10
독감,10
조정,10
소방,9
트럼프,9
엄정,9
구축,9
대란,9
의정부시,9
무산,9
예비,9
경계,9
돌파,9
테마주,9
뉴욕,9
문화,9
어디,9
전염병,9
인터넷,9
아산시,9
내달,9
연일,9
유입,9
방어,9
취약,9
위험,9
전문가,9
월일,9
발족,9
최악,9
대중교통,9
진천,9
의협,9
도서관,9
뚜렷,9
클론,9
변수,9
가능,9
아시아,9
단독,9
캠페인,9
소식,9
청도,9
콘서트,9
판매,9
문자,9
울산,9
주재,9
민방위,9
재단,9
보성군,9
경주시,9
보이스피싱,9
하나은행,9
터미널,9
허위,8
장기,8
포항,8
공항,8
비판,8
최선,8
홍차,8
문제,8
올해,8
풍경,8
회복,8
쇼케이스,8
논의,8
돌입,8
발병,8
후보,8
와중,8
열차,8
홍콩,8
금리,8
활동,8
철저,8
패닉,8
심평원,8
악수,8
민관,8
시민,8
매출,8
원단,8
방청객,8
전망,8
초비상,8
불안감,8
대신,8
착용,8
상세,8
남인순,8
반도체,8
특징,8
추진,8
항공사,8
실태,8
아산,8
연장,8
성모,8
편성,8
제약,8
수습,8
유치원,8
등장,8
협회,8
여주시,8
원광대,8
펜타곤,8
부로,8
홍진영,8
노들섬,8
일산,8
음압,7
병상,7
자제,7
퇴치,7
러시아,7
수도,7
포함,7
동두천시,7
전쟁,7
우리,7
현실,7
평택,7
긴장,7
명칭,7
연예계,7
쇼크,7
기자,7
반려견,7
청와대,7
나선,7
달라,7
급등,7
행위,7
노선,7
광명시,7
강조,7
영등포구,7
국가,7
매우,7
후베이성,7
불똥,7
지상파,7
거래소,7
심리,7
시국,7
부산시,7
분석,7
출현,7
수칙,7
주문,7
단속,7
싱가포르,7
악화,7
음식점,7
세종시,7
아이돌,7
고위,7
팩스,7
직접,7
축소,7
해군,7
안보,7
견학,7
중외,7
사관,7
포천시,7
심사평가원,7
동주,7
대사,7
비행기,7
내각,7
연구,6
도움,6
촉구,6
창원,6
예의,6
하남시,6
행정,6
건강,6
걱정,6
계속,6
실시간,6
진출,6
최초,6
지자체,6
수첩,6
속도,6
제외,6
세계보건기구,6
주의보,6
망언,6
일일,6
주간,6
외교,6
유의,6
총선,6
보호,6
기대,6
천안시,6
다우,6
안해,6
지인,6
눈치,6
긴밀,6
양산,6
유지,6
작업,6
오전,6
충격,6
일상,6
검진,6
양산시,6
입춘,6
증권,6
